district,year,living_waste,living_recycle,living_incineration,living_landfill,industrial_waste,construction_waste,designated_waste,per_capita_living_waste,total_waste,total_recycle,total_incineration,total_landfill,household_waste,biz_nonbiz_waste,recycle_rate,incineration_rate,landfill_rate,total_recycle_rate,total_incineration_rate,total_landfill_rate
마포구,2024,142121,85360,49895,5601,35718,248059,2817,1.04,428716,361870,50783,14687,80722.3,61398.7,0.6006,0.3511,0.0394,0.8441,0.1185,0.0343
양천구,2020,144360,104623,33003,6734,15876,291869,5935,0.86,458040,394798,34766,28433,112167.6,32192.4,0.7247,0.2286,0.0466,0.8619,0.0759,0.0621
양천구,2021,128894,86602,30053,10819,18134,249536,3896,0.78,400459,335110,32020,31715,99220.0,29674.0,0.6719,0.2332,0.0839,0.8368,0.08,0.0792
양천구,2022,123688,80582,33872,6324,26016,154450,2803,0.76,306957,242863,35709,25392,94887.9,28800.1,0.6515,0.2739,0.0511,0.7912,0.1163,0.0827
양천구,2023,115678,78725,29907,6779,21244,107829,3023,0.72,247774,189182,31874,26215,88838.2,26839.8,0.6806,0.2585,0.0586,0.7635,0.1286,0.1058
양천구,2024,121756,72237,33545,6453,19846,187835,3383,0.77,332820,261323,35318,26046,93445.8,28310.2,0.5933,0.2755,0.053,0.7852,0.1061,0.0783
강서구,2020,192797,133861,37921,20583,300172,1306283,4692,0.9,1803943,1331597,89106,230910,130003.4,62793.6,0.6943,0.1967,0.1068,0.7382,0.0494,0.128
강서구,2021,751795,212856,38987,229973,283001,771167,5052,3.55,1811014,1030882,83483,307798,499275.1,252519.9,0.2831,0.0519,0.3059,0.5692,0.0461,0.17
강서구,2022,585756,274273,46052,22085,245427,876324,5221,2.79,1712728,1226981,97085,32602,383875.9,201880.1,0.4682,0.0786,0.0377,0.7164,0.0567,0.019
강서구,2023,490315,221810,48403,15035,355548,891305,5157,2.36,1742325,1230702,103308,17315,317431.7,172883.3,0.4524,0.0987,0.0307,0.7064,0.0593,0.0099
