adstrd_code_se,gu,weekday_work_pop,weekday_home_pop,weekend_all_pop,weekend_active_pop,living_pop_avg,L1_work_home_ratio,L2_weekend_active_ratio,L2_weekend_all_ratio,weekend_home_ratio,biz_total,emp_total,B1_avg_emp_per_biz,B2_office_emp_ratio,B2_office_emp_ratio_no_support,B3_consumption_tourism_emp_ratio,B4_life_service_emp_ratio,B5_industrial_logistics_emp_ratio,public_admin_emp_ratio,food_accom_emp_ratio,food_accom_biz_ratio,consumption_total,log_consumption_total
11500,강서구,525537.581149173,544553.682617939,528559.340356891,519388.4103802885,533202.5326519354,0.9650794731984068,0.9882992748959297,1.00574984419023,0.9706285298004869,60611,312532,5.156357756842818,0.32373964905993624,0.23883954283081413,0.22278998630540234,0.17887128358056134,0.2555162351375219,0.018999654435385815,0.06778505880997786,0.11125043308970319,618933745000.0,27.151264068362714
11530,구로구,380959.4694482188,389464.5739673346,379240.20734266826,375493.8184464743,383515.11270785524,0.978162058663058,0.9856529330806216,0.995487020947292,0.9737476337821579,51832,232534,4.486301898441117,0.3930263961399193,0.2774906035246459,0.2438095074268709,0.16759699656824378,0.17386274695313372,0.02164414666242356,0.058804303886743445,0.09380305602716468,4592178305000.0,29.155375603678248
11545,금천구,240082.7634076654,206161.01618438296,196821.15629258813,193942.30805048076,215648.45732510244,1.1645400660663414,0.8078143774160196,0.8198054433353128,0.9546962851432513,48067,257675,5.360746458068945,0.45911710488017854,0.3608537886872999,0.20053943921606676,0.08271660036868148,0.24149413020277483,0.01612884447462889,0.03849034636654701,0.07599808600495142,201806121000.0,26.03057327642276
11560,영등포구,541636.9942674936,431637.3226673028,442866.70915781247,470240.1911298878,474199.6537455487,1.2548428178556197,0.868183296389933,0.8176448688789113,1.0260157912692018,74118,442395,5.9687930057475915,0.554332666508437,0.38314854372223917,0.1880107144068084,0.10210106352919902,0.1319793397303315,0.02356717413171487,0.05715480509499429,0.1013518983242937,1604124493000.0,28.10359923645145
11590,동작구,343125.1443922074,390720.2405861005,370959.0178543269,358456.4187329327,368069.6264727004,0.878186253871829,1.0446812907514613,1.0811187227663623,0.9494236011368884,27532,109155,3.964659305535377,0.2732811140121845,0.2108011543218359,0.2604553158352801,0.32771746598873164,0.10206586963492281,0.0364619119600568,0.10599606064770281,0.14891762312944937,486085288000.0,26.909649935164378
11620,관악구,406690.5678944338,486923.9666981234,459782.1143835737,439098.3915576923,450494.10909157555,0.8352239686459475,1.0796866861974304,1.1305453105637824,0.9442585410231477,37657,125747,3.339272910747006,0.19138428749791248,0.13940690433966615,0.28763310456710695,0.33499805164337915,0.15247282241325838,0.0334640190223226,0.12805872108280913,0.1589611493215073,321794259000.0,26.4971782310752
11650,서초구,674348.1378579198,498174.79559707374,507190.7604361779,542387.4422699519,563793.2878906192,1.3536376063540074,0.8043136946931542,0.7521200578195105,1.0180979947576398,72068,493979,6.854345895543098,0.4692527415133032,0.33580982187501895,0.21222764530475993,0.14622686389502387,0.14543938102631893,0.02667927179090609,0.054569121359410014,0.088860520619415,1682955913000.0,28.15157283531045
11680,강남구,1010432.3796989503,713583.2765984415,723852.9432297676,771558.0406905449,822750.7023793829,1.4159978419275039,0.7635919594346571,0.7163794013068281,1.0143916862517859,101160,755251,7.4659054962435745,0.47877990231062256,0.3850163720405534,0.26352695991134073,0.14278299532208497,0.10372842935659801,0.01098839988295282,0.06683341034967183,0.10876828786081455,7349591305000.0,29.625665822845523
11710,송파구,736034.6524618956,729928.8124717239,731292.7691402645,747599.1733418269,732501.8084614526,1.0083649800992178,1.0157119244878623,0.9935575270732561,1.001868616014652,75957,418595,5.510946983161525,0.3257587883276198,0.26383974963867224,0.29147505345262126,0.14947861297913256,0.2135309786308962,0.019575006868213906,0.07003428134593104,0.10549389786326474,1005726734000.0,27.636731514524396
11740,강동구,470363.0208942748,529217.2319308206,508808.1999300882,491208.54152836534,502352.63910605654,0.8887900705314916,1.044317941054248,1.0817351222949452,0.9614354356409159,43775,169270,3.8668189605939465,0.230578365924263,0.13479647899805045,0.2687008920659302,0.2576475453417617,0.21297926389791458,0.029497252909552785,0.08473444792343593,0.11785265562535693,417853383000.0,26.75839644957025
