"자치구별(1)","자치구별(2)",시점,행정구역(A),행정구역(A),청소구역(B),청소구역(B),수거지인구율(B/A),배출량(C),처리량(D),수거율(D/C),처리방법 (톤/년),처리방법 (톤/년),처리방법 (톤/년),처리방법 (톤/년),처리방법 (톤/년)
"자치구별(1)","자치구별(2)",시점,면적 (km²),인구 (명),면적 (km²),인구 (명),소계,소계,소계,소계,소계,매립,소각,재활용,기타
"합계","강서구",2021,41.45,579768,41.45,579768,100.0,1811014,1811014,100.0,1811014,307798,83483,1030882,388852
"합계","강서구",2022,41.45,574638,41.45,574638,100.0,1712728,1712728,100.0,1712728,32602,97085,1226981,356060
"합계","강서구",2023,41.45,568826,41.45,568826,100.0,1742325,1742325,100.0,1742325,17315,103308,1230702,391000
"합계","강서구",2024,41.45,562194,41.45,562194,100.0,1858065,1858065,100.0,1858065,14562,112700,1256963,473840
"합계","구로구",2020,20.12,432488,20.12,432488,100.0,467935,467935,100.0,467935,28971,43015,395762,187
"합계","구로구",2021,20.12,421163,20.12,421163,100.0,447475,447475,100.0,447475,39380,43080,364499,517
"합계","구로구",2022,20.12,418418,20.12,418418,100.0,512912,512912,100.0,512912,16083,40343,456143,344
"합계","구로구",2023,20.12,415651,20.12,415651,100.0,445650,445650,100.0,445650,12961,41614,390895,181
"합계","구로구",2024,20.12,411916,20.12,411916,100.0,302409,302409,100.0,302409,10004,46985,244974,446
"합계","금천구",2020,13.02,247835,13.02,247835,100.0,1388885,1388885,100.0,1388885,49595,6975,1330633,1682
"합계","금천구",2021,13.02,244891,13.02,244891,100.0,494331,494331,100.0,494331,40068,12965,440293,1005
"합계","금천구",2022,13.02,242818,13.02,242818,100.0,419382,419382,100.0,419382,23365,12466,382537,1015
"합계","금천구",2023,13.02,241105,13.02,241105,100.0,366852,366852,100.0,366852,21798,12053,328279,4722
"합계","금천구",2024,13.02,239070,13.02,239070,100.0,225590,225590,100.0,225590,21685,11544,190625,1736
"합계","영등포구",2020,24.55,407367,24.55,407367,100.0,789191,789191,100.0,789191,13029,47526,725302,3334
"합계","영등포구",2021,24.55,400908,24.55,400908,100.0,703046,703046,100.0,703046,21485,35268,643041,3252
"합계","영등포구",2022,24.55,398085,24.55,398085,100.0,825651,825651,100.0,825651,13450,42534,762953,6715
"합계","영등포구",2023,24.55,397800,24.55,397800,100.0,567119,567119,100.0,567119,11152,43506,510750,1710
"합계","영등포구",2024,24.55,397173,24.55,397173,100.0,593281,593281,100.0,593281,8177,44896,538286,1923
"합계","동작구",2020,16.35,401572,16.35,401572,100.0,471935,471935,100.0,471935,9709,26941,434075,1210
"합계","동작구",2021,16.36,394364,16.36,394364,100.0,373833,373833,100.0,373833,11705,27629,333856,642
"합계","동작구",2022,16.36,390432,16.36,390432,100.0,391694,391694,100.0,391694,13848,28958,347999,889
"합계","동작구",2023,16.36,389714,16.36,389714,100.0,412026,412026,100.0,412026,10416,29037,372016,557
"합계","동작구",2024,16.35,387352,16.35,387352,100.0,987083,987083,100.0,987083,9484,29140,945710,2749
"합계","관악구",2020,29.57,509803,29.57,509803,100.0,597075,597075,100.0,597075,33291,12452,551255,78
"합계","관악구",2021,29.57,499449,29.57,499449,100.0,634248,634248,100.0,634248,18944,42025,573271,9
"합계","관악구",2022,29.57,501226,29.57,501226,100.0,492993,492993,100.0,492993,20503,33468,438911,111
"합계","관악구",2023,29.57,497883,29.57,497883,100.0,401288,401288,100.0,401288,18434,32879,349773,202
"합계","관악구",2024,29.57,495620,29.57,495620,100.0,348087,348087,100.0,348087,14072,26223,307579,213
"합계","서초구",2020,46.98,429025,46.98,429025,100.0,870369,870369,100.0,870369,30778,52896,785848,848
"합계","서초구",2021,46.98,416167,46.98,416167,100.0,1612209,1612209,100.0,1612209,27389,56482,1526715,1623
"합계","서초구",2022,46.97,408451,46.97,408451,100.0,1041663,1041663,100.0,1041663,23526,55398,960238,2501
"합계","서초구",2023,46.97,412078,46.97,412078,100.0,1347744,1347744,100.0,1347744,17252,56120,1272396,1976
"합계","서초구",2024,46.97,413076,46.97,413076,100.0,1224794,1224794,100.0,1224794,17004,54059,1149436,4295
"합계","강남구",2020,39.50,544055,39.50,544055,100.0,2033823,2033823,100.0,2033823,32624,84116,1865166,51917
"합계","강남구",2021,39.50,537800,39.50,537800,100.0,1551024,1551024,100.0,1551024,25085,85943,1364019,75977
"합계","강남구",2022,39.50,534103,39.50,534103,100.0,1364964,1364964,100.0,1364964,26400,92695,1184575,61293
"합계","강남구",2023,39.50,550282,39.50,550282,100.0,1260886,1260886,100.0,1260886,23987,95511,1049544,91844
"합계","강남구",2024,39.51,563215,39.51,563215,100.0,1068334,1068334,100.0,1068334,21239,92563,880134,74398
"합계","송파구",2020,33.87,673926,33.87,673926,100.0,1563519,1563519,100.0,1563519,60628,47173,1445356,10363
"합계","송파구",2021,33.88,663965,33.88,663965,100.0,1109491,1109491,100.0,1109491,57750,51880,991123,8738
"합계","송파구",2022,33.88,664514,33.88,664514,100.0,909951,909951,100.0,909951,34028,51323,770847,53752
"합계","송파구",2023,33.88,660025,33.88,660025,100.0,686606,686606,100.0,686606,25205,52582,565064,43755
"합계","송파구",2024,33.88,656310,33.88,656310,100.0,732026,732026,100.0,732026,14974,59733,611677,45641
"합계","강동구",2020,24.59,463998,24.59,463998,100.0,1012452,1012452,100.0,1012452,19352,37298,955141,661
"합계","강동구",2021,24.59,466472,24.59,466472,100.0,1093460,1093460,100.0,1093460,16939,35152,1028941,12429
"합계","강동구",2022,24.59,464037,24.59,464037,100.0,758299,758299,100.0,758299,16587,29479,712089,144
"합계","강동구",2023,24.59,463318,24.59,463318,100.0,594209,594209,100.0,594209,14845,30689,548306,369
"합계","강동구",2024,24.59,481474,24.59,481474,100.0,527475,527475,100.0,527475,10795,42576,473385,719
