"자치구별(1)","시점",주민 1인당 생활폐기물(쓰레기) 배출량 (㎏/인 일),생활계폐기물 배출량 (톤/일),주민수 (명)
"강서구","2023",2.36,1343.3,568826
"강서구","2024",2.87,1614.5,562194
"구로구","2009",0.96,430.1,449613
"구로구","2010",0.68,308.1,452667
"구로구","2011",0.60,276.7,458908
"구로구","2012",0.63,285.7,454478
"구로구","2013",0.62,278.5,452168
"구로구","2014",0.71,322.5,457131
"구로구","2015",0.69,314.7,454604
"구로구","2016",0.71,318.2,449600
"구로구","2017",0.70,310.8,441559
"구로구","2018",0.73,319.4,438486
"구로구","2019",0.74,326.5,439371
"구로구","2020",0.76,329.6,432488
"구로구","2021",0.89,373.2,421163
"구로구","2022",0.88,367.2,418418
"구로구","2023",1.13,470.2,415651
"구로구","2024",0.81,335.6,411916
"금천구","2009",1.04,272.8,263116
"금천구","2010",0.74,196.7,264544
"금천구","2011",0.84,221.2,264256
"금천구","2012",0.86,223.5,260734
"금천구","2013",0.70,180.2,258254
"금천구","2014",0.97,250.6,258030
"금천구","2015",0.94,240.1,256167
"금천구","2016",0.94,239.6,254654
"금천구","2017",0.95,241.8,253491
"금천구","2018",0.98,248.8,254021
"금천구","2019",1.14,286.7,251820
"금천구","2020",1.11,274.5,247835
"금천구","2021",1.10,270.3,244891
"금천구","2022",1.13,273.8,242818
"금천구","2023",1.15,277.4,241105
"금천구","2024",1.11,264.2,239070
"영등포구","2009",1.22,537.0,441747
"영등포구","2010",1.21,541.1,445648
"영등포구","2011",0.83,366.0,439555
"영등포구","2012",0.94,403.2,426876
"영등포구","2013",0.73,305.8,421577
"영등포구","2014",0.84,356.1,421436
"영등포구","2015",0.93,389.9,417811
"영등포구","2016",1.00,406.8,406779
"영등포구","2017",0.85,340.7,402024
"영등포구","2018",0.83,335.3,403600
"영등포구","2019",1.04,417.3,400986
"영등포구","2020",1.10,449.4,407367
"영등포구","2021",1.10,441.7,400908
"영등포구","2022",1.15,458.4,398085
"영등포구","2023",1.15,456.7,397800
"영등포구","2024",1.09,432.7,397173
"동작구","2009",0.97,394.3,407973
"동작구","2010",0.78,323.1,413814
"동작구","2011",0.79,327.7,413658
"동작구","2012",0.81,337.7,416268
"동작구","2013",0.78,327.5,421487
"동작구","2014",0.81,339.8,419261
"동작구","2015",0.72,297.9,412774
"동작구","2016",0.68,280.5,413247
"동작구","2017",0.66,269.0,408493
"동작구","2018",0.71,290.6,409385
"동작구","2019",0.77,315.4,408912
"동작구","2020",0.81,324.5,401572
"동작구","2021",0.75,297.4,394364
"동작구","2022",0.83,323.3,390432
"동작구","2023",0.82,319.8,389714
"동작구","2024",0.84,326.6,387352
"관악구","2009",0.87,474.4,547311
"관악구","2010",0.62,340.0,549736
"관악구","2011",0.59,321.0,546350
"관악구","2012",0.59,317.6,540520
"관악구","2013",0.59,315.5,535128
"관악구","2014",0.67,354.3,531960
"관악구","2015",0.64,337.9,529031
"관악구","2016",0.65,339.7,525607
"관악구","2017",0.69,361.8,520929
"관악구","2018",0.84,436.8,520040
"관악구","2019",0.84,434.7,517334
"관악구","2020",0.79,401.6,509803
"관악구","2021",0.80,400.4,499449
"관악구","2022",0.88,442.7,501226
"관악구","2023",0.81,402.4,497883
"관악구","2024",0.83,409.5,495620
"서초구","2009",1.41,608.9,431131
"서초구","2010",1.34,589.1,440021
"서초구","2011",1.34,588.0,439012
"서초구","2012",1.31,578.1,439998
"서초구","2013",1.24,552.3,446541
"서초구","2014",1.20,546.3,454288
"서초구","2015",1.25,562.3,451258
"서초구","2016",1.26,570.1,451477
"서초구","2017",1.28,571.7,445401
"서초구","2018",1.29,563.7,438163
"서초구","2019",1.15,498.3,435107
"서초구","2020",1.18,504.8,429025
"서초구","2021",1.17,485.2,416167
"서초구","2022",1.21,493.9,408451
"서초구","2023",1.18,487.9,412078
"서초구","2024",1.19,492.5,413076
"강남구","2009",1.72,978.7,569499
"강남구","2010",1.72,990.5,577070
"강남구","2011",1.78,1017.3,573003
"강남구","2012",1.73,984.9,569997
"강남구","2013",1.31,745.2,569152
"강남구","2014",1.39,808.2,583446
"강남구","2015",1.23,713.2,581760
"강남구","2016",1.24,707.2,572140
"강남구","2017",1.26,708.3,561052
"강남구","2018",1.24,677.1,547453
"강남구","2019",1.07,591.2,550209
"강남구","2020",1.28,694.9,544055
"강남구","2021",1.26,679.5,537800
"강남구","2022",1.35,721.4,534103
"강남구","2023",1.30,716.2,550282
"강남구","2024",1.29,729.0,563215
"송파구","2009",1.15,791.1,689296
"송파구","2010",1.06,733.3,693144
"송파구","2011",1.09,751.5,690466
"송파구","2012",0.95,644.2,680150
