"동별(1)","항목","시점",합계,0~4세,5~9세,10~14세,15~19세,20~24세,25~29세,30~34세,35~39세,40~44세,45~49세,50~54세,55~59세,60~64세,65~69세,70~74세,75~79세,80~84세,85~89세,90~94세,95~99세,100세 이상
"강서구","한국인","2024",556171,12403,16457,20183,20576,27891,47550,53947,42352,43837,40000,43362,39219,41148,39276,26829,19388,12318,6439,2330,580,86
"구로구","한국인","2020",404408,12869,15330,14686,15503,23351,32064,30724,32423,30981,32222,31791,31539,31724,24259,18721,13083,7907,3536,1203,313,179
"구로구","한국인","2021",396754,11574,14393,14493,14698,22272,31431,30998,30073,30647,30536,32222,30072,31900,25589,18653,13319,8389,3899,1251,303,42
"구로구","한국인","2022",395315,10971,13384,14237,14400,21254,31577,32507,29058,30833,29311,32214,29330,31748,26320,19171,13822,9469,4070,1313,287,39
"구로구","한국인","2023",392405,10031,12403,13994,14224,20044,30827,32787,28312,30670,27732,32043,29879,31082,27579,19805,14752,9921,4562,1384,325,49
"구로구","한국인","2024",388169,9578,11488,13591,13932,18719,29589,32927,28061,29300,27158,31507,29869,30423,28498,20545,15650,10346,5024,1536,375,53
"금천구","한국인","2020",231733,5775,6773,6685,7984,14365,22762,18576,16905,15298,17605,19667,20625,19399,13720,10435,7624,4431,2048,691,188,177
"금천구","한국인","2021",230811,5245,6431,6510,7445,13636,23566,20180,16390,15349,16289,19488,19860,19980,14584,10379,7595,4810,2166,722,156,30
"금천구","한국인","2022",229642,4899,5800,6366,7182,12598,23817,21588,15849,15431,15272,19088,19101,20425,15099,10634,7767,5502,2299,738,155,32
"금천구","한국인","2023",227481,4480,5404,6085,6842,11623,23351,22385,15569,15387,14157,18412,19102,20153,16172,10874,8211,5739,2530,807,166,32
"금천구","한국인","2024",225159,4099,4927,5885,6540,10779,22791,23016,15502,14607,13728,17575,18826,19847,17033,11508,8644,5890,2860,899,168,35
"영등포구","한국인","2020",379480,12788,13048,11444,12834,21920,37156,35791,33454,27931,28507,28741,28190,27013,20059,15723,11657,7628,3711,1236,362,287
"영등포구","한국인","2021",376837,11775,12981,11613,12027,21540,37153,36986,32417,28450,26991,29279,26983,27347,20903,15360,11507,7903,4047,1235,287,53
"영등포구","한국인","2022",375675,11077,12473,11689,11893,20719,36970,38434,31232,29021,26081,29257,26288,27192,21365,15680,11705,8672,4288,1326,273,40
"영등포구","한국인","2023",374794,10377,11800,11307,11646,19498,37515,39977,30917,29285,24702,28768,26607,26552,22583,15682,12225,9010,4518,1468,298,59
"영등포구","한국인","2024",373773,9834,10954,11209,11355,18292,37086,41507,31376,28352,24481,27995,26751,26013,23433,16273,12808,9080,4988,1609,317,60
"동작구","한국인","2020",391220,10942,13622,13111,14710,27603,38942,31789,30307,28722,30190,29702,28641,28011,21151,17066,12689,8108,3787,1432,382,313
"동작구","한국인","2021",385483,9868,13124,12948,14019,26670,38212,32231,28595,28567,28640,30781,27292,28216,22262,16738,12844,8526,4091,1413,362,84
"동작구","한국인","2022",380596,9021,12331,12684,13992,26142,38059,32706,27150,28431,27362,30607,26579,27660,22640,16827,13036,9241,4311,1424,335,58
"동작구","한국인","2023",378769,8463,11608,12472,13522,25531,38194,33403,26463,28478,26143,30329,26982,27092,23490,16822,13593,9589,4670,1507,363,55
"동작구","한국인","2024",375799,8083,10542,12165,13025,24757,37353,34494,26307,27033,25638,29729,27373,26517,24326,17232,14154,9874,5056,1686,390,65
"관악구","한국인","2020",495060,9898,12474,12731,15869,39220,69915,48899,37882,33151,35333,34474,33578,33206,26037,21172,16004,9292,3849,1402,351,323
"관악구","한국인","2021",485699,8520,11323,12351,14706,37871,70283,50223,35333,32743,32800,35090,31935,33150,26820,20807,15833,10042,4144,1349,315,61
"관악구","한국인","2022",486752,7766,10398,11799,14529,37548,72767,53282,33964,32759,31007,35052,31013,33020,27038,21154,15953,11437,4520,1394,299,53
"관악구","한국인","2023",481956,7080,9400,11193,13886,35441,71938,55349,33091,32482,29223,34530,31276,32305,28113,21080,16734,11922,5037,1506,317,53
"관악구","한국인","2024",477812,6591,8432,10778,13318,34048,69807,57513,33299,30718,28482,33697,31527,31464,29105,21507,17469,12378,5646,1627,356,50
"서초구","한국인","2020",425126,13125,20726,23103,22226,25144,29947,29652,33572,37128,40227,34723,28474,27007,20790,16331,11103,6461,3326,1409,420,232
"서초구","한국인","2021",412279,11980,19719,23031,21446,23652,28357,28741,30804,36718,38360,35796,26783,26318,21777,15512,11226,6799,3420,1365,382,93
"서초구","한국인","2022",404325,10886,18166,22880,21663,22500,27549,28361,28376,35923,37193,36314,26797,25489,22003,15814,11728,7297,3636,1344,353,53
"서초구","한국인","2023",407664,10409,17409,22689,22117,22132,27766,29084,27879,36305,35939,37401,27807,25186,22819,16340,12706,7966,3886,1397,364,63
"서초구","한국인","2024",408376,10139,16495,22797,21992,21740,27233,29429,27687,34886,35995,37500,28902,24975,23551,16905,13493,8443,4221,1532,399,62
"강남구","한국인","2020",539231,13621,23145,29138,29996,33282,40658,39296,42542,47098,52168,44682,35668,32978,26445,20595,13572,7836,3977,1731,507,296
"강남구","한국인","2021",533042,12363,22363,29794,29347,31679,39095,38337,39325,47322,50407,47259,34697,32976,28551,20157,14410,8455,4145,1782,472,106
"강남구","한국인","2022",529102,11486,20834,29958,30137,29964,38028,38701,36951,46946,49344,48216,34873,32100,29011,21167,15305,9363,4395,1776,469,78
"강남구","한국인","2023",544873,12030,20975,30906,30902,28998,38587,41044,37727,49465,49512,49496,36271,32526,30284,22048,16780,10024,4888,1831,490,89
"강남구","한국인","2024",557345,12273,20887,32396,31131,28418,37886,42889,38402,49268,51624,50016,37899,32965,31274,23259,18050,10828,5271,1970,556,83
"송파구","한국인","2020",667960,21984,28760,29061,30007,40237,53882,53580,57010,54173,55126,52816,49750,48265,35919,24716,15724,9165,4967,1984,535,299
"송파구","한국인","2021",658338,20263,28110,28956,28679,38241,52181,52908,53722,54905,52304,54008,47606,48952,38584,24774,16486,9796,5206,2039,528,90
"송파구","한국인","2022",658801,18972,27148,29448,28904,36028,51377,54057,51439,56357,51290,54586,47165,48669,40230,26479,17679,10915,5398,2078,499,83
"송파구","한국인","2023",654166,17488,25826,29166,28287,34107,50512,55032,49757,57238,49225,53700,47334,47851,41887,27571,19105,11594,5652,2213,530,91
"송파구","한국인","2024",650110,16611,24529,29110,27740,32018,49024,56305,49589,55343,49386,52496,47508,46494,43121,29172,20379,12245,6062,2288,603,87
"강동구","한국인","2020",459970,15301,19449,19321,19640,26636,34821,33875,38211,36959,37085,36237,35990,36542,26702,18615,12017,6920,3530,1485,379,255
"강동구","한국인","2021",462664,14678,19643,19891,18959,25732,34735,34541,36556,38733,36121,37171,34595,37366,29216,18910,12608,7509,3784,1494,342,80
"강동구","한국인","2022",460067,13887,18673,19984,19080,24217,33769,34905,34441,39385,35344,37258,33562,37371,30286,20304,13360,8454,3858,1517,342,70
"강동구","한국인","2023",459167,12920,17972,19859,19002,22892,33560,35330,33285,39872,34510,36962,33799,36389,32027,21014,14594,8994,4180,1562,367,77
"강동구","한국인","2024",476942,13137,17932,20943,19891,22583,33645,38111,34806,40334,36445,37920,34996,36512,34129,23008,16145,9632,4557,1668,467,81
