"기준_년분기_코드","행정동_코드","행정동_코드_명","월_평균_소득_금액","소득_구간_코드","지출_총금액","식료품_지출_총금액","의류_신발_지출_총금액","생활용품_지출_총금액","의료비_지출_총금액","교통_지출_총금액","교육_지출_총금액","유흥_지출_총금액","여가_문화_지출_총금액","기타_지출_총금액","음식_지출_총금액"
"20243","11680","강남구","","09","968613050000","15590985000","10842237000","1832315000","48517966000","10409469000","15326158000","3675678000","510631764000","321174504000","30611974000"
"20243","11650","서초구","","09","215918912000","8337965000","1818430000","5654137000","24380042000","2275720000","5060462000","1692037000","82755303000","66669406000","17275410000"
"20243","11620","관악구","","06","42861991000","10650856000","929093000","640394000","6702233000","1118323000","5179830000","1826985000","3172964000","1624132000","11017181000"
"20243","11590","동작구","","07","64945210000","8511704000","361871000","525787000","6251806000","35458875000","1592886000","824947000","1654944000","1514975000","8247415000"
"20243","11560","영등포구","","07","96146088000","9564188000","1318485000","1044539000","9776038000","28677173000","1505342000","1561490000","17006310000","8362392000","17330131000"
"20243","11545","금천구","","06","25883341000","5851320000","3675249000","426662000","3390074000","1399442000","515277000","637874000","4217127000","814016000","4956300000"
"20243","11530","구로구","","07","617570580000","9150682000","573222000","785657000","8595658000","1606796000","1498935000","1077839000","584996550000","1309362000","7975879000"
"20243","11500","강서구","","07","87942742000","12239335000","2372712000","784559000","11901509000","13971430000","2598405000","1686995000","23074584000","5942160000","13371053000"
"20243","11470","양천구","","08","40012838000","9217440000","398730000","389703000","8155027000","2268938000","5841107000","732643000","3974345000","1369768000","7665137000"
"20243","11440","마포구","","08","481976746000","11584310000","2506601000","1325069000","7418859000","1402244000","3551125000","2823521000","429017610000","2974067000","19373340000"
"20243","11410","서대문구","","07","46328681000","6001435000","458974000","303417000","26569787000","1119648000","1506659000","625977000","1729802000","1126665000","6886317000"
"20243","11380","은평구","","06","32972833000","8100087000","1488217000","637836000","7169816000","1657336000","1994427000","1047590000","1770700000","1278237000","7828587000"
"20243","11350","노원구","","07","44112600000","13479718000","509209000","508488000","7288844000","1663729000","3518864000","1102650000","4478421000","1728046000","9834631000"
"20243","11320","도봉구","","06","18472546000","5644521000","281397000","418208000","2580304000","1737615000","943390000","492750000","1061880000","645653000","4666828000"
"20243","11305","강북구","","06","21923564000","5339246000","566520000","442586000","4210379000","1272920000","558215000","965252000","1322449000","985561000","6260436000"
"20243","11290","성북구","","07","29255603000","7850672000","592626000","436316000","4282761000","2161537000","1675004000","825806000","2554143000","1119143000","7757595000"
"20243","11260","중랑구","","06","24488372000","7415487000","384896000","486318000","4031113000","1791594000","944118000","998291000","1317535000","892071000","6226949000"
"20243","11230","동대문구","","07","32329332000","9021408000","810795000","613515000","7946465000","2006155000","1166206000","748446000","1713842000","760348000","7542152000"
"20243","11215","광진구","","07","34659666000","7722890000","1018198000","629465000","5611776000","2386996000","1234183000","1477396000","2286709000","1669827000","10622226000"
