year,gu,waste_total,waste_per_capita,food_waste_total,recycle_rate,total_pop,households,elderly_ratio,parcel_arrival_total,arrival_per_hh,living_pop_daily_avg,day_night_ratio,biz_total,food_accom_biz,illegal_dumping_count
2021,관악구,146143,400.4,91.8,60.12467240989989,499449,276597,15.991822988933803,,,11255917.019344434,0.8804701666641067,37915,4490,5908
2021,광진구,91428,250.5,82.7,68.55777223607647,352627,167949,14.667906881775927,,,8504924.624102019,0.9485745903847392,33706,2778,3749
2021,구로구,136224,373.2,81.8,56.411498708010335,421163,180929,17.24059330947875,,,9178533.01337782,0.9841809418869016,52791,5498,6637
2021,금천구,98645,270.3,55.5,63.08074408231538,244891,117595,16.75888456496972,,,5247790.883313941,1.1359402582312923,47964,3218,3926
2021,노원구,135900,372.3,115.9,70.33848417954378,514946,217378,17.156167831190068,,,12194673.538278757,0.9153369643867209,37909,6415,1735
2021,도봉구,91929,251.9,72.0,58.16118961372363,319373,138656,20.08936259483425,,,6598861.160691966,0.9082636496060944,25391,5058,782
2021,동대문구,116867,320.2,93.5,64.60677522311687,352006,168219,17.673278296392674,,,8240380.507472903,0.9849359866635308,42813,3956,6001
2021,동작구,108554,297.4,80.7,66.27392818320835,394364,184812,16.8912476798085,,,9058162.9617924,0.907382005200914,27915,2250,1606
2021,마포구,199008,545.2,77.9,40.05567615372247,378686,179861,14.413524661592984,,,10522665.593984324,1.0917499022178994,56782,3963,4709
2021,서대문구,96768,265.1,61.1,59.71602182539682,315659,143647,17.191969815528783,,,8486706.82938367,1.0209163043084608,28522,3414,2522
2021,서초구,177110,485.2,147.4,61.45559256958953,416167,170244,14.580204581333936,,,13337084.29791925,1.2558368317932458,71958,4352,9655
2021,성동구,99225,271.8,76.6,68.7387251196775,292672,134233,15.84709162475399,,,8162184.107608925,1.0686377990307905,41665,2994,1546
2021,성북구,136000,372.6,86.7,73.94485294117648,440142,195017,16.973840260643154,,,9981810.658352682,0.9182092338925844,34712,3691,399
2021,송파구,253209,693.7,210.9,68.41660446508615,663965,282417,14.713275549162985,,,17642374.60988164,1.004732107517358,74531,7834,7063
